coverage-data.xlsx
GROUP	CODE	NAME	YEAR	ANTIGEN	ANTIGEN_DESCRIPTION	COVERAGE_CATEGORY	COVERAGE_CATEGORY_DESCRIPTION	TARGET_NUMBER	DOSES	COVERAGE
COUNTRIES	ABW	Aruba	2023	BCG	BCG	ADMIN	Administrative coverage			
COUNTRIES	ABW	Aruba	2023	BCG	BCG	OFFICIAL	Official coverage			
COUNTRIES	ABW	Aruba	2023	DIPHCV4	Diphtheria-containing vaccine, 4th dose (1st booster)	ADMIN	Administrative coverage	1044	945	90.52
COUNTRIES	ABW	Aruba	2023	DIPHCV4	Diphtheria-containing vaccine, 4th dose (1st booster)	OFFICIAL	Official coverage			90.52
COUNTRIES	ABW	Aruba	2023	DIPHCV5	Diphtheria-containing vaccine, 5th dose (2nd booster)	ADMIN	Administrative coverage	1219	1008	82.69
COUNTRIES	ABW	Aruba	2023	DIPHCV5	Diphtheria-containing vaccine, 5th dose (2nd booster)	OFFICIAL	Official coverage			82.69
COUNTRIES	ABW	Aruba	2023	DIPHCV6	Diphtheria-containing vaccine, 6th dose (3rd booster)	ADMIN	Administrative coverage	1468	1219	83.04
COUNTRIES	ABW	Aruba	2023	DIPHCV6	Diphtheria-containing vaccine, 6th dose (3rd booster)	OFFICIAL	Official coverage			83.04
COUNTRIES	ABW	Aruba	2023	DTPCV1	DTP-containing vaccine, 1st dose	ADMIN	Administrative coverage	945	926	97.99
COUNTRIES	ABW	Aruba	2023	DTPCV1	DTP-containing vaccine, 1st dose	OFFICIAL	Official coverage			97.99
COUNTRIES	ABW	Aruba	2023	DTPCV3	DTP-containing vaccine, 3rd dose	ADMIN	Administrative coverage	945	907	95.98
COUNTRIES	ABW	Aruba	2023	DTPCV3	DTP-containing vaccine, 3rd dose	OFFICIAL	Official coverage			95.98
COUNTRIES	ABW	Aruba	2023	FLU_ALL	Influenza all persons above >6 months (universal recommendation)	ADMIN	Administrative coverage			
COUNTRIES	ABW	Aruba	2023	FLU_CHILD1	Influenza child age group 1	ADMIN	Administrative coverage			
COUNTRIES	ABW	Aruba	2023	FLU_CHILD2	Influenza child age group 2	ADMIN	Administrative coverage			
COUNTRIES	ABW	Aruba	2023	FLU_CHRONIC_ADULT	Influenza chronic adult	ADMIN	Administrative coverage			
COUNTRIES	ABW	Aruba	2023	FLU_CHRONIC_PED	Influenza chronic pediatric	ADMIN	Administrative coverage			
COUNTRIES	ABW	Aruba	2023	FLU_ELDERLY	Influenza older persons	ADMIN	Administrative coverage			
COUNTRIES	ABW	Aruba	2023	FLU_HCW	Influenza health care workers	ADMIN	Administrative coverage			
COUNTRIES	ABW	Aruba	2023	FLU_OTHER	Influenza other	ADMIN	Administrative coverage			
COUNTRIES	ABW	Aruba	2023	FLU_PW	Influenza pregnant women	ADMIN	Administrative coverage			
COUNTRIES	ABW	Aruba	2023	FLU_RESIDENT	Influenza residents living in long term care facilities	ADMIN	Administrative coverage			
COUNTRIES	ABW	Aruba	2023	HEPB_BD	HepB, birth dose (given within 24 hours of birth)	ADMIN	Administrative coverage			
COUNTRIES	ABW	Aruba	2023	HEPB_BD	HepB, birth dose (given within 24 hours of birth)	OFFICIAL	Official coverage			
COUNTRIES	ABW	Aruba	2023	HEPB_BDALL	HepB, birth dose total (including those given within and after 24 hours of birth)	ADMIN	Administrative coverage			
